Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.30174611231812865,1.5558510574005278,-0.27638287815397283,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.3922695134386818,1.230040109147501,-0.46067093379764906,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.14064521755931486,-1.3184359930214562,0.2058631972238197,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.14062801089339527,-1.318463455507277,0.20586717694733223,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.14121900429551187,-1.3184236519674906,0.2058738486544018,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.22030739373472238,-0.8980035983299424,0.10386734450576858,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3174983715277073,0.9992766813445456,-0.6100761477671897,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.340945990305393,0.9996290471686265,-0.6096167686434434,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.16978712750800667,-1.1283910779296258,-0.04506457980458572,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.32803907686211525,0.39175759890543815,-0.3990082636865453,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.17581242628264937,-1.3174711564962014,0.23017865572128304,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.16688966517590373,-1.12847669014962,-0.04511467025785662,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.39223402100407034,1.2300445673404603,-0.4606724212382562,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.2541427953953366,0.09034396980868331,0.09017855305045198,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.14042533759279544,-1.3184311387606777,0.20585759476105883,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.2842880534658807,1.763383315227954,-0.5886064581825424,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.3333688206974831,0.9992090216725028,-0.6097166360524587,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.8686877129541295,-2.338960075929702,0.35970391284672293,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.4674654711630256,-2.3196350513466832,0.43138392446814156,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,0.292711705531232,1.7539338902980253,-0.3205140273608085,0,BurstCoin
